"","ppm","intensity"
"136",0.738009,7.49931455982084e-05
"137",0.738323,0
"138",0.738636,0
"139",0.73895,0
"140",0.739264,0
"141",0.739577,0
"142",0.739891,0
"143",0.7401105443702,0
"144",0.740205,0
"145",0.740518,0
"146",0.740832,0
"147",0.741000726082935,0
"148",0.741146,0
"149",0.74146,0
"150",0.741773,0.000355183300241887
"151",0.741773307815228,0.000355628493133848
"152",0.742087,0.000809321222677723
"153",0.742401,0.00125605237646036
"154",0.742714,0
"155",0.743028,0
"156",0.743342,0
"157",0.743655,0.000214594862083702
"158",0.743969,0.000316926877900978
"159",0.744283,0.000372256477163037
"160",0.744495064775669,0.00012004406080199
"161",0.744596,0
"162",0.74491,0
"163",0.745224,0
"164",0.745538,0
"165",0.745851,0
"166",0.746165,0
"167",0.746479,0
"168",0.746576065622369,0
"169",0.746792,0
"170",0.747106,0
"171",0.74742,0
"172",0.747733,0
"173",0.748047,0
"174",0.748361,0
"175",0.748675,0
"176",0.748988,0
"177",0.749302,0.00127094757164637
"178",0.749616,0.000204578289971756
"179",0.749929,0
"180",0.750243,0
"181",0.750557,0
"182",0.75087,0
"183",0.751184,0
"184",0.751498,0.000600020652353772
"185",0.751812,0.000602693567834037
"186",0.751973003263656,0.000789472780500716
"187",0.752125,0.000965803558508447
"188",0.752439,0.00159273284574555
"189",0.752753,0.000748978453173507
"190",0.753066,0
"191",0.75338,0.000214978014495177
"192",0.753694,0.00182968989150442
"193",0.754007,0.000778199185916039
"194",0.754132555026871,0.000467030970314762
"195",0.754321,0
"196",0.754635,0
"197",0.754948,0
"198",0.755262,0
"199",0.755576,0
"200",0.75589,0
"201",0.756203,0
"202",0.756517,0
"203",0.756831,0
"204",0.757144,0
"205",0.757458,0
"206",0.757772,0
"207",0.758085,0
"208",0.758399,0.000144575661317521
"209",0.758713,0.00216384146666975
"210",0.759027,0.00296625828801573
"211",0.75934,0.00310943333090663
"212",0.759654,0.00187977930798189
"213",0.759968,0
"214",0.760281,0
"215",0.760595,0.0020465324112634
